Gw,YR,MN,TYP,CITY,CSIZk,CCLASS,REGION,REGIAB,COMPANY,GROUP,EC,ACTNAME,NSZZ,RZM,SN0,SN1,A1,A2,PPL,R1,R2,SITE,DR,CLAIMNAME,C1,C2,DI,TR,RS,VAN,VIO,INT,SOL
1,4,9,1,SK,0,99,13,SK,Impel,0,17,0,0,0,2,2,4,0,118,2,0,1,1,0,1,0,2,3,0,0,0,0,0
1,4,9,1,SL,0,99,12,SL,KHW / Śląsk mine / Wujek mine,0,2,0,0,0,1,1,2,0,1000,3,0,2,0,0,3,0,2,3,1,0,0,0,0
1,4,9,1,SL,0,99,12,SL,KHW / Śląsk mine / Wujek mine,0,2,S,1,0,1,1,2,0,0,4,0,1,0,0,3,0,2,3,0,0,0,0,0
1,4,9,1,Warszawa,1754,3,7,MZ,0,occupational therapy,17,0,0,0,1,1,4,6,0,3,0,3,0,0,15,0,1,2,0,0,0,0,0
1,4,9,2,Warszawa,1754,3,7,MZ,Warszawa epidemic,0,17,0,0,0,1,1,2,0,0,6,0,1,0,0,10,12,2,2,3,0,0,0,0
1,4,9,1,Warszawa,1754,3,7,MZ,Poczta Polska,0,10,0,0,0,1,1,2,0,2000,3,0,1,0,against privatisation and layoffs,8,10,2,3,1,0,0,0,0
1,4,9,2,Warszawa,1754,3,7,MZ,Tramwaje Warszawskie,0,8,SR80,0,0,1,1,2,0,,3,0,3,0,0,1,0,1,2,3,0,0,0,0
1,4,9,1,Wrocław,638,3,1,DS,0,occupational therapy,17,0,0,0,1,1,4,6,200,3,0,3,0,0,15,0,1,2,0,0,0,0,0
1,4,9,1,Zielona Góra,139,3,4,LS,0,occupational therapy,17,0,0,0,3,3,4,6,0,3,0,3,0,0,15,0,1,2,0,0,0,0,0
3,4,10,1,Augustów,31,0,10,PD,Augustów hospital,0,17,PIP,0,0,1,1,2,0,50,3,0,1,0,0,11,0,1,3,1,0,0,0,0
